Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;38;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;0;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;38;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;50
Medium-Low;28;25 - 45;Male;African-American;5;0;F;1;0;0;51
